traveler_name,destination_city,trip_length_days,justification,has_packet,num_flags,num_high_flags,num_med_flags,num_low_flags,risk_score,final_action
Traveler_0,Washington DC,5,Official travel for training and operational support.,0,3,0,2,1,15,clarify
Traveler_1,San Diego,6,Official travel for training and operational support.,1,2,1,0,1,12,approve
Traveler_2,Honolulu,5,Official travel supporting readiness activities and planned coordination.,1,0,0,0,0,0,approve
Traveler_3,San Diego,4,Required attendance for training event aligned with mission support needs.,1,0,0,0,0,0,approve
Traveler_4,Ramstein,7,Travel supports mission readiness and coordination.,1,4,0,2,2,18,clarify
Traveler_5,San Jose,3,High priority mission but documentation issues exist.,0,4,1,1,2,21,hold
Traveler_6,San Diego,5,Required for mission-related activities and planning.,1,2,0,2,0,12,approve
Traveler_7,Norfolk,5,Official travel for training and operational support.,1,2,1,1,0,15,clarify
Traveler_8,Osan,8,Travel requires additional approval due to high risk factors.,1,4,1,2,1,24,hold
Traveler_9,San Jose,1,Required for mission-related activities and planning.,1,3,0,1,2,12,approve
Traveler_10,Norfolk,5,Operational travel supporting mission coordination and readiness activities.,1,1,0,0,1,3,clarify
Traveler_11,Ramstein,8,Travel directly supports mission needs and operational planning activities.,1,0,0,0,0,0,approve
Traveler_12,Colorado Springs,3,Travel supports formal training objectives and organizational preparedness.,1,0,0,0,0,0,approve
Traveler_13,Washington DC,5,Travel requires additional approval due to high risk factors.,1,2,2,0,0,18,hold
Traveler_14,San Diego,4,High priority mission but documentation issues exist.,1,2,2,0,0,18,hold
Traveler_15,Tampa,3,Meeting.,0,0,0,0,0,0,approve
Traveler_16,Tampa,6,Official travel in support of mission execution and operational readiness.,1,1,0,0,1,3,approve
Traveler_17,San Jose,2,"Official travel for routine duties, meetings, and administrative support.",1,1,0,1,0,6,clarify
Traveler_18,Norfolk,5,Required for mission-related activities and planning.,1,3,0,0,3,9,clarify
Traveler_19,Ramstein,5,"Mission-related travel supporting readiness, coordination, and operational requirements.",1,1,0,0,1,3,approve
Traveler_20,Norfolk,4,Official travel for training and operational support.,1,2,0,0,2,6,approve
Traveler_21,Honolulu,5,Travel supports scheduled mission-related activities and oversight.,1,0,0,0,0,0,approve
Traveler_22,Tampa,6,Travel supports mission readiness and coordination.,1,2,1,1,0,15,clarify
Traveler_23,Honolulu,7,Support travel aligned with mission readiness and organizational objectives.,0,1,0,0,1,3,approve
Traveler_24,Colorado Springs,4,Required for mission-related activities and planning.,1,3,0,3,0,18,clarify
Traveler_25,San Diego,5,Required attendance for training event aligned with mission support needs.,1,1,1,0,0,9,approve
Traveler_26,San Diego,2,Required attendance for training event aligned with mission support needs.,1,1,1,0,0,9,approve
Traveler_27,San Diego,3,Travel supports mission readiness and coordination.,1,2,1,1,0,15,clarify
Traveler_28,Norfolk,2,Required for mission-related activities and planning.,0,3,0,3,0,18,clarify
Traveler_29,Norfolk,4,Required for mission-related activities and planning.,1,3,1,0,2,15,approve
Traveler_30,Ramstein,8,Travel supports mission readiness and coordination.,1,2,0,2,0,12,clarify
Traveler_31,San Jose,2,Administrative travel for official coordination and program support.,1,1,0,0,1,3,approve
Traveler_32,San Jose,4,Travel supports mission readiness and coordination.,1,3,0,3,0,18,clarify
Traveler_33,Tampa,6,Multiple discrepancies require further review and validation.,1,3,2,1,0,24,hold
Traveler_34,Colorado Springs,2,Travel requires additional approval due to high risk factors.,0,2,2,0,0,18,hold
Traveler_35,San Diego,5,Travel supports mission readiness and coordination.,1,4,0,2,2,18,approve
Traveler_36,Norfolk,7,Travel requires additional approval due to high risk factors.,1,4,0,3,1,21,hold
Traveler_37,San Jose,1,Travel aligns with organizational objectives and official administrative needs.,1,0,0,0,0,0,approve
Traveler_38,Honolulu,5,Travel requires additional approval due to high risk factors.,1,4,1,2,1,24,hold
Traveler_39,Norfolk,2,Multiple discrepancies require further review and validation.,0,2,2,0,0,18,hold
Traveler_40,Washington DC,2,Multiple discrepancies require further review and validation.,1,3,1,2,0,21,hold
Traveler_41,San Jose,4,Travel requires additional approval due to high risk factors.,1,3,2,0,1,21,hold
Traveler_42,San Diego,4,Official travel for training and operational support.,1,2,0,1,1,9,approve
Traveler_43,Norfolk,3,Operational travel supporting mission coordination and readiness activities.,1,1,1,0,0,9,approve
Traveler_44,Honolulu,7,Travel supports scheduled mission-related activities and oversight.,1,0,0,0,0,0,approve
Traveler_45,Tokyo,9,Travel requires additional approval due to high risk factors.,1,3,2,0,1,21,hold
Traveler_46,Tokyo,6,Multiple discrepancies require further review and validation.,0,4,2,2,0,30,hold
Traveler_47,San Diego,3,Meeting.,0,1,1,0,0,9,clarify
Traveler_48,Norfolk,6,Required for mission-related activities and planning.,1,2,1,0,1,12,clarify
Traveler_49,Tampa,4,Official travel.,1,0,0,0,0,0,approve
Traveler_50,Norfolk,7,Operational travel supporting mission coordination and readiness activities.,1,1,1,0,0,9,approve
Traveler_51,San Jose,2,"Official travel for routine duties, meetings, and administrative support.",1,0,0,0,0,0,approve
Traveler_52,San Diego,4,Required for mission-related activities and planning.,1,3,0,0,3,9,approve
Traveler_53,Osan,7,Multiple discrepancies require further review and validation.,1,3,2,1,0,24,hold
Traveler_54,Tampa,6,Multiple discrepancies require further review and validation.,1,3,1,2,0,21,hold
Traveler_55,San Diego,3,Multiple discrepancies require further review and validation.,0,2,2,0,0,18,hold
Traveler_56,Washington DC,2,Official travel for training and operational support.,0,3,0,2,1,15,clarify
Traveler_57,Colorado Springs,6,Official travel for required training and mission readiness support.,0,1,0,0,1,3,approve
Traveler_58,Ramstein,5,Travel directly supports mission needs and operational planning activities.,1,1,0,0,1,3,clarify
Traveler_59,Osan,5,High priority mission but documentation issues exist.,1,3,2,0,1,21,clarify
Traveler_60,Tampa,2,Travel supports mission readiness and coordination.,1,3,0,3,0,18,approve
Traveler_61,San Diego,5,Travel requires additional approval due to high risk factors.,1,4,2,1,1,27,hold
Traveler_62,San Diego,5,Travel supports mission readiness and coordination.,1,2,0,2,0,12,clarify
Traveler_63,Honolulu,5,Required for mission-related activities and planning.,0,2,0,2,0,12,clarify
Traveler_64,Tokyo,8,High priority mission but documentation issues exist.,1,4,0,4,0,24,hold
Traveler_65,Tokyo,6,Travel supports mission readiness and coordination.,1,4,1,0,3,18,clarify
Traveler_66,Honolulu,8,Multiple discrepancies require further review and validation.,1,3,2,0,1,21,hold
Traveler_67,Norfolk,5,Travel requires additional approval due to high risk factors.,0,3,1,2,0,21,hold
Traveler_68,Norfolk,7,"Travel required for operational planning, coordination, and support.",1,0,0,0,0,0,approve
Traveler_69,Ramstein,5,Required for mission-related activities and planning.,1,3,1,0,2,15,clarify
Traveler_70,San Diego,2,Multiple discrepancies require further review and validation.,1,4,0,4,0,24,hold
Traveler_71,San Diego,6,Official travel for required training and mission readiness support.,1,0,0,0,0,0,approve
Traveler_72,Colorado Springs,7,Travel requires additional approval due to high risk factors.,1,4,1,1,2,21,clarify
Traveler_73,San Diego,5,Official travel for required training and mission readiness support.,1,0,0,0,0,0,approve
Traveler_74,San Jose,2,Meeting.,1,1,1,0,0,9,approve
Traveler_75,Washington DC,1,"Coordination travel for program review, leadership engagement, and planning.",1,1,0,1,0,6,clarify
Traveler_76,Ramstein,6,Official travel for training and operational support.,1,3,0,1,2,12,approve
Traveler_77,Osan,9,Official travel for training and operational support.,1,2,1,0,1,12,approve
Traveler_78,San Diego,6,Official travel for required training and mission readiness support.,1,1,0,0,1,3,approve
Traveler_79,Washington DC,1,"Coordination travel for program review, leadership engagement, and planning.",0,0,0,0,0,0,clarify
Traveler_80,Honolulu,8,Required for mission-related activities and planning.,1,2,1,1,0,15,clarify
Traveler_81,Washington DC,1,Travel supports mission readiness and coordination.,1,2,1,0,1,12,approve
Traveler_82,San Diego,3,Official travel for required training and mission readiness support.,1,1,0,0,1,3,approve
Traveler_83,Tampa,4,Official travel.,1,0,0,0,0,0,approve
Traveler_84,Tokyo,7,Official travel for training and operational support.,1,3,1,1,1,18,clarify
Traveler_85,Washington DC,3,Travel supports mission readiness and coordination.,0,2,0,1,1,9,approve
Traveler_86,Washington DC,2,Multiple discrepancies require further review and validation.,1,4,1,3,0,27,hold
Traveler_87,Norfolk,6,Required for mission-related activities and planning.,1,2,0,1,1,9,clarify
Traveler_88,Norfolk,2,High priority mission but documentation issues exist.,1,2,2,0,0,18,hold
Traveler_89,San Jose,4,Multiple discrepancies require further review and validation.,1,3,2,0,1,21,clarify
Traveler_90,Colorado Springs,4,Official travel for required training and mission readiness support.,0,0,0,0,0,0,approve
Traveler_91,Tampa,6,"Travel required for operational planning, coordination, and support.",1,1,1,0,0,9,approve
Traveler_92,San Diego,2,Required for mission-related activities and planning.,1,2,1,0,1,12,clarify
Traveler_93,San Diego,5,Required for mission-related activities and planning.,1,2,0,2,0,12,clarify
Traveler_94,Tampa,3,Official travel for training and operational support.,1,2,1,0,1,12,clarify
Traveler_95,Norfolk,4,Multiple discrepancies require further review and validation.,1,2,2,0,0,18,clarify
Traveler_96,Norfolk,4,Meeting.,1,1,0,1,0,6,approve
Traveler_97,San Diego,5,Official travel for required training and mission readiness support.,1,1,0,1,0,6,approve
Traveler_98,San Diego,3,High priority mission but documentation issues exist.,1,2,2,0,0,18,hold
Traveler_99,Washington DC,2,"Coordination travel for program review, leadership engagement, and planning.",1,1,0,0,1,3,approve
Traveler_100,San Diego,5,Required attendance for training event aligned with mission support needs.,1,0,0,0,0,0,approve
Traveler_101,San Diego,6,Required attendance for training event aligned with mission support needs.,1,0,0,0,0,0,clarify
Traveler_102,Ramstein,5,Official travel for training and operational support.,1,3,1,0,2,15,clarify
Traveler_103,Colorado Springs,4,Required attendance for training event aligned with mission support needs.,1,1,1,0,0,9,approve
Traveler_104,Tokyo,8,Official travel for training and operational support.,0,3,1,0,2,15,clarify
Traveler_105,Tampa,4,Official travel in support of mission execution and operational readiness.,1,1,1,0,0,9,approve
Traveler_106,San Jose,4,Travel aligns with organizational objectives and official administrative needs.,1,1,0,0,1,3,approve
Traveler_107,Colorado Springs,4,High priority mission but documentation issues exist.,1,4,1,3,0,27,hold
Traveler_108,Tokyo,5,Travel supports mission readiness and coordination.,1,2,0,1,1,9,clarify
Traveler_109,Ramstein,10,Required for mission-related activities and planning.,1,3,0,0,3,9,clarify
Traveler_110,Tampa,5,Required for mission-related activities and planning.,1,2,1,1,0,15,clarify
Traveler_111,Osan,9,Multiple discrepancies require further review and validation.,1,3,2,0,1,21,hold
Traveler_112,Washington DC,2,Travel requires additional approval due to high risk factors.,1,3,2,0,1,21,hold
Traveler_113,Norfolk,4,Operational travel supporting mission coordination and readiness activities.,1,0,0,0,0,0,approve
Traveler_114,Tokyo,7,Travel directly supports mission needs and operational planning activities.,1,1,0,0,1,3,approve
Traveler_115,San Jose,2,Official travel for training and operational support.,1,3,0,1,2,12,clarify
Traveler_116,Washington DC,5,Travel supports stakeholder coordination tied to organizational priorities.,0,1,0,1,0,6,clarify
Traveler_117,Ramstein,7,Travel requires additional approval due to high risk factors.,1,3,1,2,0,21,hold
Traveler_118,San Jose,2,Travel aligns with organizational objectives and official administrative needs.,1,1,0,0,1,3,approve
Traveler_119,Colorado Springs,7,Official travel for required training and mission readiness support.,0,1,1,0,0,9,approve
Traveler_120,Tokyo,6,Required for mission-related activities and planning.,1,2,0,1,1,9,approve
Traveler_121,Honolulu,6,Official travel supporting readiness activities and planned coordination.,1,0,0,0,0,0,approve
Traveler_122,Ramstein,5,Multiple discrepancies require further review and validation.,1,2,2,0,0,18,hold
Traveler_123,Tokyo,6,Travel directly supports mission needs and operational planning activities.,1,0,0,0,0,0,approve
Traveler_124,Osan,10,Travel supports mission readiness and coordination.,1,2,1,0,1,12,clarify
Traveler_125,San Diego,4,Travel supports formal training objectives and organizational preparedness.,0,0,0,0,0,0,approve
Traveler_126,Norfolk,6,Travel supports mission readiness and coordination.,1,2,1,0,1,12,clarify
Traveler_127,Honolulu,4,Multiple discrepancies require further review and validation.,1,3,2,0,1,21,hold
Traveler_128,Norfolk,7,Operational travel supporting mission coordination and readiness activities.,1,1,0,1,0,6,approve
Traveler_129,Washington DC,3,High priority mission but documentation issues exist.,0,3,2,1,0,24,hold
Traveler_130,Tampa,4,Official travel in support of mission execution and operational readiness.,0,0,0,0,0,0,approve
Traveler_131,Norfolk,4,"Travel required for operational planning, coordination, and support.",1,1,0,0,1,3,clarify
Traveler_132,Washington DC,1,Meeting.,0,1,0,0,1,3,approve
Traveler_133,San Jose,1,High priority mission but documentation issues exist.,1,2,2,0,0,18,hold
Traveler_134,Ramstein,8,Official travel required to support mission execution and overseas coordination.,1,1,1,0,0,9,approve
Traveler_135,San Diego,6,Travel supports formal training objectives and organizational preparedness.,0,0,0,0,0,0,clarify
Traveler_136,Ramstein,8,Travel requires additional approval due to high risk factors.,1,3,2,0,1,21,hold
Traveler_137,Colorado Springs,7,Travel supports formal training objectives and organizational preparedness.,1,1,0,1,0,6,approve
Traveler_138,San Diego,3,High priority mission but documentation issues exist.,1,4,2,0,2,24,hold
Traveler_139,Norfolk,3,"Travel required for operational planning, coordination, and support.",1,1,1,0,0,9,clarify
Traveler_140,Tampa,6,Travel supports mission readiness and coordination.,1,2,1,1,0,15,approve
Traveler_141,Tampa,3,Required for mission-related activities and planning.,1,2,1,1,0,15,clarify
Traveler_142,San Diego,4,Travel supports mission readiness and coordination.,1,3,1,0,2,15,clarify
Traveler_143,Colorado Springs,2,Travel supports formal training objectives and organizational preparedness.,1,1,1,0,0,9,approve
Traveler_144,Tokyo,7,Required for mission-related activities and planning.,0,3,0,0,3,9,clarify
Traveler_145,Norfolk,2,Required for mission-related activities and planning.,1,2,1,1,0,15,clarify
Traveler_146,Honolulu,8,Travel supports scheduled mission-related activities and oversight.,1,1,0,1,0,6,approve
Traveler_147,Honolulu,6,Travel supports mission readiness and coordination.,1,3,0,0,3,9,clarify
Traveler_148,Washington DC,5,"Coordination travel for program review, leadership engagement, and planning.",1,1,0,0,1,3,approve
Traveler_149,Honolulu,5,Support travel aligned with mission readiness and organizational objectives.,0,1,0,0,1,3,clarify
Traveler_150,Washington DC,4,Multiple discrepancies require further review and validation.,1,3,2,0,1,21,hold
Traveler_151,Tokyo,10,High priority mission but documentation issues exist.,1,4,2,2,0,30,hold
Traveler_152,Tokyo,6,Official travel for training and operational support.,1,4,1,0,3,18,approve
Traveler_153,San Diego,6,Conference.,1,0,0,0,0,0,clarify
Traveler_154,Washington DC,4,Official travel for interagency coordination and mission planning support.,1,1,1,0,0,9,approve
Traveler_155,San Jose,4,High priority mission but documentation issues exist.,1,3,2,1,0,24,hold
Traveler_156,San Diego,2,Travel supports mission readiness and coordination.,1,2,0,1,1,9,approve
Traveler_157,Colorado Springs,7,Official travel.,1,1,1,0,0,9,approve
Traveler_158,Honolulu,6,Meeting.,0,0,0,0,0,0,approve
Traveler_159,Washington DC,1,Mission trip.,1,1,0,1,0,6,approve
Traveler_160,San Jose,3,"Official travel for routine duties, meetings, and administrative support.",1,1,1,0,0,9,approve
Traveler_161,Norfolk,6,Official travel in support of mission execution and operational readiness.,1,1,0,0,1,3,clarify
Traveler_162,Ramstein,7,Travel requires additional approval due to high risk factors.,1,4,2,1,1,27,clarify
Traveler_163,Honolulu,7,Travel supports scheduled mission-related activities and oversight.,0,1,0,0,1,3,approve
Traveler_164,San Jose,2,"Official travel for routine duties, meetings, and administrative support.",1,0,0,0,0,0,approve
Traveler_165,Colorado Springs,2,Required for mission-related activities and planning.,1,2,0,0,2,6,clarify
